STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2009,15.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2010,16.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2011,18.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2012,17.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2013,17.0,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2014,15.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2015,12.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2016,13.9,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2017,15.3,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2018,11.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2019,12.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2020,14.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2021,12.8,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DK,2022,11.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,1999,47.5,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2000,,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2001,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2002,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2003,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2004,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2005,,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2006,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2007,,u
