CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
M1-2	From 1 to 2 months	De 1 à 2 mois	1 bis 2 Monate	Y	
M1-3	From 1 to 3 months	De 1 à 3 mois	1 bis 3 Monate	Y	
M1-6	From 1 to 6 months	De 1 à 6 mois	1 bis 6 Monate	Y	
M1-12	From 1 to 12 months	De 1 à 12 mois	1 bis 12 Monate	Y	
M_GE1	1 month or over	1 mois ou plus	1 Monat und mehr	Y	
M2	2 months	2 mois	2 Monate	Y	
M_LT3	Less than 3 months	Moins de 3 mois	Weniger als 3 Monate	Y	
M_LE3	3 months or less	3 mois ou moins	3 Monate und weniger	Y	
M3	3 months	3 mois	3 Monate	Y	
M3-4	From 3 to 4 months	De 3 à 4 mois	3 bis 4 Monate	Y	
M3-5	From 3 to 5 months	De 3 à 5 mois	3 bis 5 Monate	Y	
M3-6	From 3 to 6 months	De 3 à 6 mois	3 bis 6 Monate	Y	
M3-12	From 3 to 12 months	De 3 à 12 mois	3 bis 12 Monate	Y	
M_GT3-6	From more than 3 to 6 months	De plus de 3 à 6 mois	Von mehr als 3 bis 6 Monate	Y	
M_GE3	3 months or over	3 mois ou plus	3 Monate und mehr	Y	
M4	4 months	4 mois	4 Monate	Y	
M4-6	From 4 to 6 months	De 4 à 6 mois	4 bis 6 Monate	Y	
M5	5 months	5 mois	5 Monate	Y	
M5-6	From 5 to 6 months	De 5 à 6 mois	5 bis 6 Monate	Y	
M_LT6	Less than 6 months	Moins de 6 mois	Weniger als 6 Monate	Y	
M_LE6	6 months or less	6 mois ou moins	6 Monate und weniger	Y	
M6	6 months	6 mois	6 Monate	Y	
M6-9	From 6 to 9 months	De 6 à 9 mois	6 bis 9 Monate	Y	
M6-11	From 6 to 11 months	De 6 à 11 mois	6 bis 11 Monate	Y	
M6-12	From 6 to 12 months	De 6 à 12 mois	6 bis 12 Monate	Y	
M_GT6-12	From more than 6 to 12 months	De plus de 6 à 12 mois	Von mehr als 6 bis 12 Monate	Y	
M_GE6	6 months or over	6 mois ou plus	6 Monate und mehr	Y	
M7	7 months	7 mois	7 Monate	Y	
M7-9	From 7 to 9 months	De 7 à 9 mois	7 bis 9 Monate	Y	
M7-12	From 7 to 12 months	De 7 à 12 mois	7 bis 12 Monate	Y	
M8	8 months	8 mois	8 Monate	Y	
M9	9 months	9 mois	9 Monate	Y	
M10	10 months	10 mois	10 Monate	Y	
M_GE10	10 months or over	10 mois ou plus	10 Monate und mehr	Y	
M11	11 months	11 mois	11 Monate	Y	
M_LT12	Less than 12 months	Moins de 12 mois	Weniger als 12 Monate	Y	
M12	12 months	12 mois	12 Monate	Y	
M12-17	From 12 to 17 months	De 12 à 17 mois	12 bis 17 Monate	Y	
M12-23	From 12 to 23 months	De 12 à 23 mois	12 bis 23 Monate	Y	
M12-36	From 12 to 36 months	De 12 à 36 mois	12 bis 36 Monate	Y	
M_GE12	12 months or over	12 mois ou plus	12 Monate und mehr	Y	
M_GT12	Over 12 months	Plus de 12 mois	Mehr als 12 Monate	Y	
M13	13 months	13 mois	13 Monate	Y	
M13-18	From 13 to 18 months	De 13 à 18 mois	13 bis 18 Monate	Y	
M14	14 months	14 mois	14 Monate	Y	
M15	15 months	15 mois	15 Monate	Y	
M16	16 months	16 mois	16 Monate	Y	
M17	17 months	17 mois	17 Monate	Y	
M18	18 months	18 mois	18 Monate	Y	
M18-23	From 18 to 23 months	De 18 à 23 mois	18 bis 23 Monate	Y	
M19	19 months	19 mois	19 Monate	Y	
M19-24	From 19 to 24 months	De 19 à 24 mois	19 bis 24 Monate	Y	
M20	20 months	20 mois	20 Monate	Y	
M21	21 months	21 mois	21 Monate	Y	
M22	22 months	22 mois	22 Monate	Y	
M23	23 months	23 mois	23 Monate	Y	
M24	24 months	24 mois	24 Monate	Y	
M24-35	From 24 to 35 months	De 24 à 35 mois	24 bis 35 Monate	Y	
M24-47	From 24 to 47 months	De 24 à 47 mois	24 bis 47 Monate	Y	
M24-59	From 24 to 59 months	De 24 à 59 mois	24 bis 59 Monate	Y	
M_GE24	24 months or over	24 mois ou plus	24 Monate und mehr	Y	
M25	25 months	25 mois	25 Monate	Y	
M25-36	From 25 to 36 months	De 25 à 36 mois	25 bis 36 Monate	Y	
M26	26 months	26 mois	26 Monate	Y	
M27	27 months	27 mois	27 Monate	Y	
M28	28 months	28 mois	28 Monate	Y	
M29	29 months	29 mois	29 Monate	Y	
M30	30 months	30 mois	30 Monate	Y	
M31	31 months	31 mois	31 Monate	Y	
M32	32 months	32 mois	32 Monate	Y	
M33	33 months	33 mois	33 Monate	Y	
M34	34 months	34 mois	34 Monate	Y	
